iter	Passed	Remaining
0	1	194
1	3	179
2	5	169
3	6	154
4	7	151
5	9	149
6	11	152
7	13	150
8	14	147
9	16	145
10	17	143
11	19	141
12	20	138
13	22	136
14	23	135
15	25	133
16	26	131
17	28	129
18	29	127
19	31	125
20	32	124
21	34	122
22	36	120
23	37	118
24	39	117
25	40	115
26	42	114
27	43	112
28	45	110
29	46	109
30	48	107
31	49	104
32	50	102
33	51	100
34	52	98
35	54	96
36	55	94
37	56	92
38	57	89
39	58	87
40	59	85
41	59	82
42	60	80
43	61	78
44	62	76
45	63	74
46	64	72
47	65	70
48	66	68
49	67	67
50	68	65
51	68	63
52	69	61
53	70	60
54	71	58
55	71	56
56	72	54
57	73	53
58	74	51
59	74	49
60	75	48
61	76	46
62	77	45
63	78	43
64	78	42
65	79	41
66	80	39
67	81	38
68	82	36
69	83	35
70	83	34
71	84	32
72	85	31
73	86	30
74	87	29
75	87	27
76	88	26
77	89	25
78	90	24
79	91	22
80	92	21
81	92	20
82	93	19
83	94	17
84	95	16
85	96	15
86	96	14
87	97	13
88	98	12
89	99	11
90	100	9
91	101	8
92	101	7
93	102	6
94	103	5
95	104	4
96	105	3
97	105	2
98	106	1
99	107	0
